Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"750,216,999.63",6.46,"750,216,999.63","3,921,473.00",191.31,United States,NASDAQ,USD,1.00,--
MSFT,MICROSOFT CORP,Information Technology,Equity,"738,927,238.50",6.36,"738,927,238.50","1,955,610.00",377.85,United States,NASDAQ,USD,1.00,--
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"347,323,307.94",2.99,"347,323,307.94","2,367,414.00",146.71,United States,NASDAQ,USD,1.00,--
NVDA,NVIDIA CORP,Information Technology,Equity,"304,170,525.00",2.62,"304,170,525.00","624,375.00",487.16,United States,NASDAQ,USD,1.00,--
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"216,253,796.88",1.86,"216,253,796.88","1,561,512.00",138.49,United States,NASDAQ,USD,1.00,--
META,META PLATFORMS INC CLASS A,Communication,Equity,"198,479,110.35",1.71,"198,479,110.35","581,215.00",341.49,United States,NASDAQ,USD,1.00,--
GOOG,ALPHABET INC CLASS C,Communication,Equity,"187,126,648.56",1.61,"187,126,648.56","1,336,428.00",140.02,United States,NASDAQ,USD,1.00,--
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"174,089,476.80",1.50,"174,089,476.80","481,176.00",361.80,United States,New York Stock Exchange Inc.,USD,1.00,--
TSLA,TESLA INC,Consumer Discretionary,Equity,"169,805,528.94",1.46,"169,805,528.94","725,014.00",234.21,United States,NASDAQ,USD,1.00,--
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"132,815,011.28",1.14,"132,815,011.28","244,253.00",543.76,United States,New York Stock Exchange Inc.,USD,1.00,--
LLY,ELI LILLY,Health Care,Equity,"132,332,543.66",1.14,"132,332,543.66","222,374.00",595.09,United States,New York Stock Exchange Inc.,USD,1.00,--
JPM,JPMORGAN CHASE & CO,Financials,Equity,"116,308,471.50",1.00,"116,308,471.50","758,550.00",153.33,United States,New York Stock Exchange Inc.,USD,1.00,--
XOM,EXXON MOBIL CORP,Energy,Equity,"110,683,801.65",0.95,"110,683,801.65","1,064,165.00",104.01,United States,New York Stock Exchange Inc.,USD,1.00,--
V,VISA INC CLASS A,Financials,Equity,"107,979,172.48",0.93,"107,979,172.48","425,584.00",253.72,United States,New York Stock Exchange Inc.,USD,1.00,--
AVGO,BROADCOM INC,Information Technology,Equity,"103,206,960.00",0.89,"103,206,960.00","106,180.00",972.00,United States,NASDAQ,USD,1.00,--
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"95,537,532.28",0.82,"95,537,532.28","633,454.00",150.82,United States,New York Stock Exchange Inc.,USD,1.00,--
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"93,451,176.00",0.80,"93,451,176.00","618,800.00",151.02,United States,New York Stock Exchange Inc.,USD,1.00,--
MA,MASTERCARD INC CLASS A,Financials,Equity,"90,493,357.54",0.78,"90,493,357.54","220,538.00",410.33,United States,New York Stock Exchange Inc.,USD,1.00,--
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"82,321,717.20",0.71,"82,321,717.20","266,241.00",309.20,United States,New York Stock Exchange Inc.,USD,1.00,--
ADBE,ADOBE INC,Information Technology,Equity,"74,663,245.88",0.64,"74,663,245.88","120,479.00",619.72,United States,NASDAQ,USD,1.00,--
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"68,514,716.64",0.59,"68,514,716.64","116,308.00",589.08,United States,NASDAQ,USD,1.00,--
MRK,MERCK & CO INC,Health Care,Equity,"67,917,156.00",0.58,"67,917,156.00","667,950.00",101.68,United States,New York Stock Exchange Inc.,USD,1.00,--
CVX,CHEVRON CORP,Energy,Equity,"67,040,707.68",0.58,"67,040,707.68","464,496.00",144.33,United States,New York Stock Exchange Inc.,USD,1.00,--
ABBV,ABBVIE INC,Health Care,Equity,"64,262,542.30",0.55,"64,262,542.30","464,090.00",138.47,United States,New York Stock Exchange Inc.,USD,1.00,--
PEP,PEPSICO INC,Consumer Staples,Equity,"61,208,566.20",0.53,"61,208,566.20","361,710.00",169.22,United States,NASDAQ,USD,1.00,--
KO,COCA-COLA,Consumer Staples,Equity,"59,755,598.04",0.51,"59,755,598.04","1,022,862.00",58.42,United States,New York Stock Exchange Inc.,USD,1.00,--
WMT,WALMART INC,Consumer Staples,Equity,"57,961,809.15",0.50,"57,961,809.15","374,745.00",154.67,United States,New York Stock Exchange Inc.,USD,1.00,--
CRM,SALESFORCE INC,Information Technology,Equity,"55,662,068.96",0.48,"55,662,068.96","248,669.00",223.84,United States,New York Stock Exchange Inc.,USD,1.00,--
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"55,299,913.13",0.48,"55,299,913.13","166,001.00",333.13,United States,New York Stock Exchange Inc.,USD,1.00,--
NFLX,NETFLIX INC,Communication,Equity,"55,086,632.00",0.47,"55,086,632.00","115,244.00",478.00,United States,NASDAQ,USD,1.00,--
BAC,BANK OF AMERICA CORP,Financials,Equity,"54,233,211.24",0.47,"54,233,211.24","1,830,348.00",29.63,United States,New York Stock Exchange Inc.,USD,1.00,--
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"54,031,602.57",0.47,"54,031,602.57","191,649.00",281.93,United States,New York Stock Exchange Inc.,USD,1.00,--
LIN,LINDE PLC,Materials,Equity,"53,124,912.06",0.46,"53,124,912.06","129,063.00",411.62,United States,NASDAQ,USD,1.00,--
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"51,766,389.76",0.45,"51,766,389.76","1,076,672.00",48.08,United States,NASDAQ,USD,1.00,--
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"51,611,870.37",0.44,"51,611,870.37","421,287.00",122.51,United States,NASDAQ,USD,1.00,--
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"49,417,503.39",0.43,"49,417,503.39","101,363.00",487.53,United States,New York Stock Exchange Inc.,USD,1.00,--
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"47,974,246.21",0.41,"47,974,246.21","1,098,563.00",43.67,United States,NASDAQ,USD,1.00,--
ABT,ABBOTT LABORATORIES,Health Care,Equity,"46,739,797.00",0.40,"46,739,797.00","455,110.00",102.70,United States,New York Stock Exchange Inc.,USD,1.00,--
ORCL,ORACLE CORP,Information Technology,Equity,"46,466,823.76",0.40,"46,466,823.76","399,749.00",116.24,United States,New York Stock Exchange Inc.,USD,1.00,--
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"45,688,386.96",0.39,"45,688,386.96","1,075,527.00",42.48,United States,NASDAQ,USD,1.00,--
DIS,WALT DISNEY,Communication,Equity,"45,639,874.62",0.39,"45,639,874.62","480,066.00",95.07,United States,New York Stock Exchange Inc.,USD,1.00,--
PFE,PFIZER INC,Health Care,Equity,"45,014,739.60",0.39,"45,014,739.60","1,484,655.00",30.32,United States,New York Stock Exchange Inc.,USD,1.00,--
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"41,262,898.05",0.36,"41,262,898.05","1,104,763.00",37.35,United States,New York Stock Exchange Inc.,USD,1.00,--
WFC,WELLS FARGO,Financials,Equity,"41,216,562.12",0.35,"41,216,562.12","963,454.00",42.78,United States,New York Stock Exchange Inc.,USD,1.00,--
INTU,INTUIT INC,Information Technology,Equity,"40,464,318.68",0.35,"40,464,318.68","71,716.00",564.23,United States,NASDAQ,USD,1.00,--
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"38,304,829.60",0.33,"38,304,829.60","408,280.00",93.82,United States,New York Stock Exchange Inc.,USD,1.00,--
