Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Accrual Date
NAPA,DUCKHORN PORTFOLIO INC,Consumer Staples,Equity,"11,286,438.38",0.02,"11,286,438.38","1,088,374.00",10.37,United States,New York Stock Exchange Inc.,USD,1.00,--
FC,FRANKLIN COVEY,Industrials,Equity,"11,262,968.08",0.02,"11,262,968.08","282,776.00",39.83,United States,New York Stock Exchange Inc.,USD,1.00,--
OIS,OIL STATES INTERNATIONAL INC,Energy,Equity,"11,250,912.64",0.02,"11,250,912.64","1,598,141.00",7.04,United States,New York Stock Exchange Inc.,USD,1.00,--
DYN,DYNE THERAPEUTICS INC,Health Care,Equity,"11,215,656.04",0.02,"11,215,656.04","1,066,127.00",10.52,United States,NASDAQ,USD,1.00,--
CCNE,CNB FINANCIAL CORP,Financials,Equity,"11,206,222.42",0.02,"11,206,222.42","541,102.00",20.71,United States,NASDAQ,USD,1.00,--
UVE,UNIVERSAL INSURANCE HOLDINGS INC,Financials,Equity,"11,188,909.05",0.02,"11,188,909.05","676,885.00",16.53,United States,New York Stock Exchange Inc.,USD,1.00,--
STKL,SUNOPTA INC,Consumer Staples,Equity,"11,152,715.02",0.02,"11,152,715.02","2,262,214.00",4.93,Canada,NASDAQ,USD,1.00,--
NVRI,ENVIRI CORP,Industrials,Equity,"11,123,472.75",0.02,"11,123,472.75","1,934,517.00",5.75,United States,New York Stock Exchange Inc.,USD,1.00,--
PBI,PITNEY BOWES INC,Industrials,Equity,"11,124,846.10",0.02,"11,124,846.10","2,823,565.00",3.94,United States,New York Stock Exchange Inc.,USD,1.00,--
HOV,HOVNANIAN ENTERPRISES INC CLASS A,Consumer Discretionary,Equity,"11,059,086.25",0.02,"11,059,086.25","120,535.00",91.75,United States,New York Stock Exchange Inc.,USD,1.00,--
EVLV,EVOLV TECHNOLOGIES HOLDINGS INC CL,Information Technology,Equity,"11,050,279.20",0.02,"11,050,279.20","2,728,464.00",4.05,United States,NASDAQ,USD,1.00,--
PCT,PURECYCLE TECHNOLOGIES INC,Materials,Equity,"11,053,415.52",0.02,"11,053,415.52","2,845,152.00",3.88,United States,NASDAQ,USD,1.00,--
MLAB,MESA LABORATORIES INC,Health Care,Equity,"11,048,070.84",0.02,"11,048,070.84","125,732.00",87.87,United States,NASDAQ,USD,1.00,--
CCB,COASTAL FINANCIAL CORP,Financials,Equity,"11,039,365.80",0.02,"11,039,365.80","277,371.00",39.80,United States,NASDAQ,USD,1.00,--
IDT,IDT CORP CLASS B,Communication,Equity,"11,019,744.26",0.02,"11,019,744.26","384,902.00",28.63,United States,New York Stock Exchange Inc.,USD,1.00,--
CRGY,CRESCENT ENERGY CLASS A,Energy,Equity,"10,994,024.54",0.02,"10,994,024.54","966,083.00",11.38,United States,New York Stock Exchange Inc.,USD,1.00,--
CCSI,CONSENSUS CLOUD SOLUTIONS INC,Information Technology,Equity,"10,967,181.84",0.02,"10,967,181.84","495,356.00",22.14,United States,NASDAQ,USD,1.00,--
DAKT,DAKTRONICS INC,Information Technology,Equity,"10,957,223.82",0.02,"10,957,223.82","920,002.00",11.91,United States,NASDAQ,USD,1.00,--
ADTN,ADTRAN HOLDINGS INC,Information Technology,Equity,"10,940,778.31",0.02,"10,940,778.31","2,029,829.00",5.39,United States,NASDAQ,USD,1.00,--
BFS,SAUL CENTERS REIT INC,Real Estate,Equity,"10,924,019.55",0.02,"10,924,019.55","305,055.00",35.81,United States,New York Stock Exchange Inc.,USD,1.00,--
FNA,PARAGON INC,Health Care,Equity,"10,911,047.00",0.02,"10,911,047.00","1,074,980.00",10.15,United States,New York Stock Exchange Inc.,USD,1.00,--
ZYME,ZYMEWORKS INC,Health Care,Equity,"10,909,729.14",0.02,"10,909,729.14","1,308,121.00",8.34,United States,NASDAQ,USD,1.00,--
TBI,TRUEBLUE INC,Industrials,Equity,"10,899,895.14",0.02,"10,899,895.14","800,874.00",13.61,United States,New York Stock Exchange Inc.,USD,1.00,--
DCGO,DOCGO INC,Health Care,Equity,"10,900,395.75",0.02,"10,900,395.75","1,895,721.00",5.75,United States,NASDAQ,USD,1.00,--
ALPN,ALPINE IMMUNE SCIENCES INC,Health Care,Equity,"10,889,260.92",0.02,"10,889,260.92","790,796.00",13.77,United States,NASDAQ,USD,1.00,--
TIPT,TIPTREE INC,Financials,Equity,"10,868,297.34",0.02,"10,868,297.34","590,027.00",18.42,United States,NASDAQ,USD,1.00,--
BATRA,ATLANTA BRAVES HOLDINGS INC SERIES,Communication,Equity,"10,854,453.05",0.02,"10,854,453.05","271,565.00",39.97,United States,NASDAQ,USD,1.00,--
VERA,VERA THERAPEUTICS INC CLASS A,Health Care,Equity,"10,856,078.80",0.02,"10,856,078.80","824,930.00",13.16,United States,NASDAQ,USD,1.00,--
RNA,AVIDITY BIOSCIENCES INC,Health Care,Equity,"10,857,804.72",0.02,"10,857,804.72","1,754,088.00",6.19,United States,NASDAQ,USD,1.00,--
IBCP,INDEPENDENT BANK CORP,Financials,Equity,"10,838,709.00",0.02,"10,838,709.00","504,126.00",21.50,United States,NASDAQ,USD,1.00,--
AMNB,AMERICAN NATIONAL BANKSHARES INC,Financials,Equity,"10,795,314.06",0.02,"10,795,314.06","257,399.00",41.94,United States,NASDAQ,USD,1.00,--
HCAT,HEALTH CATALYST INC,Health Care,Equity,"10,782,763.32",0.02,"10,782,763.32","1,396,731.00",7.72,United States,NASDAQ,USD,1.00,--
DXPE,DXP ENTERPRISES INC,Industrials,Equity,"10,762,061.70",0.02,"10,762,061.70","346,047.00",31.10,United States,NASDAQ,USD,1.00,--
GLDD,GREAT LAKES DREDGE AND DOCK CORP,Industrials,Equity,"10,713,613.59",0.02,"10,713,613.59","1,630,687.00",6.57,United States,NASDAQ,USD,1.00,--
USLM,UNITED STATES LIME AND MINERALS IN,Materials,Equity,"10,656,861.00",0.02,"10,656,861.00","49,845.00",213.80,United States,NASDAQ,USD,1.00,--
