Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"2,119,622,014.65",6.80,"2,119,622,014.65","11,079,515.00",191.31,United States,NASDAQ,USD,1.00,--
MSFT,MICROSOFT CORP,Information Technology,Equity,"2,087,723,647.35",6.69,"2,087,723,647.35","5,525,271.00",377.85,United States,NASDAQ,USD,1.00,--
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"981,308,126.31",3.15,"981,308,126.31","6,688,761.00",146.71,United States,NASDAQ,USD,1.00,--
NVDA,NVIDIA CORP,Information Technology,Equity,"859,386,289.84",2.76,"859,386,289.84","1,764,074.00",487.16,United States,NASDAQ,USD,1.00,--
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"610,991,151.43",1.96,"610,991,151.43","4,411,807.00",138.49,United States,NASDAQ,USD,1.00,--
META,META PLATFORMS INC CLASS A,Communication,Equity,"560,771,656.68",1.80,"560,771,656.68","1,642,132.00",341.49,United States,NASDAQ,USD,1.00,--
GOOG,ALPHABET INC CLASS C,Communication,Equity,"528,697,317.40",1.70,"528,697,317.40","3,775,870.00",140.02,United States,NASDAQ,USD,1.00,--
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"491,862,396.60",1.58,"491,862,396.60","1,359,487.00",361.80,United States,New York Stock Exchange Inc.,USD,1.00,--
TSLA,TESLA INC,Consumer Discretionary,Equity,"479,759,745.57",1.54,"479,759,745.57","2,048,417.00",234.21,United States,NASDAQ,USD,1.00,--
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"375,247,688.48",1.20,"375,247,688.48","690,098.00",543.76,United States,New York Stock Exchange Inc.,USD,1.00,--
LLY,ELI LILLY,Health Care,Equity,"373,883,145.20",1.20,"373,883,145.20","628,280.00",595.09,United States,New York Stock Exchange Inc.,USD,1.00,--
JPM,JPMORGAN CHASE & CO,Financials,Equity,"328,594,316.49",1.05,"328,594,316.49","2,143,053.00",153.33,United States,New York Stock Exchange Inc.,USD,1.00,--
XOM,EXXON MOBIL CORP,Energy,Equity,"312,550,882.08",1.00,"312,550,882.08","3,005,008.00",104.01,United States,New York Stock Exchange Inc.,USD,1.00,--
V,VISA INC CLASS A,Financials,Equity,"305,033,601.40",0.98,"305,033,601.40","1,202,245.00",253.72,United States,New York Stock Exchange Inc.,USD,1.00,--
AVGO,BROADCOM INC,Information Technology,Equity,"291,554,316.00",0.93,"291,554,316.00","299,953.00",972.00,United States,NASDAQ,USD,1.00,--
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"269,849,858.76",0.87,"269,849,858.76","1,789,218.00",150.82,United States,New York Stock Exchange Inc.,USD,1.00,--
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"263,954,719.26",0.85,"263,954,719.26","1,747,813.00",151.02,United States,New York Stock Exchange Inc.,USD,1.00,--
MA,MASTERCARD INC CLASS A,Financials,Equity,"255,579,374.79",0.82,"255,579,374.79","622,863.00",410.33,United States,New York Stock Exchange Inc.,USD,1.00,--
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"232,478,513.20",0.75,"232,478,513.20","751,871.00",309.20,United States,New York Stock Exchange Inc.,USD,1.00,--
ADBE,ADOBE INC,Information Technology,Equity,"210,808,912.96",0.68,"210,808,912.96","340,168.00",619.72,United States,NASDAQ,USD,1.00,--
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"193,759,604.52",0.62,"193,759,604.52","328,919.00",589.08,United States,NASDAQ,USD,1.00,--
MRK,MERCK & CO INC,Health Care,Equity,"191,744,076.80",0.61,"191,744,076.80","1,885,760.00",101.68,United States,New York Stock Exchange Inc.,USD,1.00,--
CVX,CHEVRON CORP,Energy,Equity,"189,590,733.36",0.61,"189,590,733.36","1,313,592.00",144.33,United States,New York Stock Exchange Inc.,USD,1.00,--
ABBV,ABBVIE INC,Health Care,Equity,"181,408,854.65",0.58,"181,408,854.65","1,310,095.00",138.47,United States,New York Stock Exchange Inc.,USD,1.00,--
PEP,PEPSICO INC,Consumer Staples,Equity,"173,071,954.86",0.55,"173,071,954.86","1,022,763.00",169.22,United States,NASDAQ,USD,1.00,--
KO,COCA-COLA,Consumer Staples,Equity,"168,918,801.10",0.54,"168,918,801.10","2,891,455.00",58.42,United States,New York Stock Exchange Inc.,USD,1.00,--
WMT,WALMART INC,Consumer Staples,Equity,"163,900,705.60",0.53,"163,900,705.60","1,059,680.00",154.67,United States,New York Stock Exchange Inc.,USD,1.00,--
CRM,SALESFORCE INC,Information Technology,Equity,"157,292,368.00",0.50,"157,292,368.00","702,700.00",223.84,United States,New York Stock Exchange Inc.,USD,1.00,--
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"156,269,950.48",0.50,"156,269,950.48","469,096.00",333.13,United States,New York Stock Exchange Inc.,USD,1.00,--
NFLX,NETFLIX INC,Communication,Equity,"155,611,466.00",0.50,"155,611,466.00","325,547.00",478.00,United States,NASDAQ,USD,1.00,--
BAC,BANK OF AMERICA CORP,Financials,Equity,"153,222,567.11",0.49,"153,222,567.11","5,171,197.00",29.63,United States,New York Stock Exchange Inc.,USD,1.00,--
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"152,647,333.41",0.49,"152,647,333.41","541,437.00",281.93,United States,New York Stock Exchange Inc.,USD,1.00,--
LIN,LINDE PLC,Materials,Equity,"149,910,769.14",0.48,"149,910,769.14","364,197.00",411.62,United States,NASDAQ,USD,1.00,--
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"146,361,241.52",0.47,"146,361,241.52","3,044,119.00",48.08,United States,NASDAQ,USD,1.00,--
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"145,786,042.43",0.47,"145,786,042.43","1,189,993.00",122.51,United States,NASDAQ,USD,1.00,--
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"139,633,954.83",0.45,"139,633,954.83","286,411.00",487.53,United States,New York Stock Exchange Inc.,USD,1.00,--
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"135,350,492.31",0.43,"135,350,492.31","3,099,393.00",43.67,United States,NASDAQ,USD,1.00,--
ABT,ABBOTT LABORATORIES,Health Care,Equity,"131,984,699.60",0.42,"131,984,699.60","1,285,148.00",102.70,United States,New York Stock Exchange Inc.,USD,1.00,--
ORCL,ORACLE CORP,Information Technology,Equity,"131,215,082.96",0.42,"131,215,082.96","1,128,829.00",116.24,United States,New York Stock Exchange Inc.,USD,1.00,--
DIS,WALT DISNEY,Communication,Equity,"129,078,535.47",0.41,"129,078,535.47","1,357,721.00",95.07,United States,New York Stock Exchange Inc.,USD,1.00,--
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"129,041,156.16",0.41,"129,041,156.16","3,037,692.00",42.48,United States,NASDAQ,USD,1.00,--
PFE,PFIZER INC,Health Care,Equity,"127,187,639.76",0.41,"127,187,639.76","4,194,843.00",30.32,United States,New York Stock Exchange Inc.,USD,1.00,--
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"116,758,527.75",0.37,"116,758,527.75","3,126,065.00",37.35,United States,New York Stock Exchange Inc.,USD,1.00,--
WFC,WELLS FARGO,Financials,Equity,"116,583,799.32",0.37,"116,583,799.32","2,725,194.00",42.78,United States,New York Stock Exchange Inc.,USD,1.00,--
INTU,INTUIT INC,Information Technology,Equity,"114,454,619.73",0.37,"114,454,619.73","202,851.00",564.23,United States,NASDAQ,USD,1.00,--
DHR,DANAHER CORP,Health Care,Equity,"108,132,491.20",0.35,"108,132,491.20","488,624.00",221.30,United States,New York Stock Exchange Inc.,USD,1.00,--
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"108,119,950.58",0.35,"108,119,950.58","1,152,419.00",93.82,United States,New York Stock Exchange Inc.,USD,1.00,--
QCOM,QUALCOMM INC,Information Technology,Equity,"105,689,212.50",0.34,"105,689,212.50","828,935.00",127.50,United States,NASDAQ,USD,1.00,--
AMGN,AMGEN INC,Health Care,Equity,"104,946,713.01",0.34,"104,946,713.01","396,639.00",264.59,United States,NASDAQ,USD,1.00,--
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"104,716,317.99",0.34,"104,716,317.99","675,023.00",155.13,United States,New York Stock Exchange Inc.,USD,1.00,--
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"103,763,905.14",0.33,"103,763,905.14","674,098.00",153.93,United States,NASDAQ,USD,1.00,--
COP,CONOCOPHILLIPS,Energy,Equity,"103,411,514.25",0.33,"103,411,514.25","900,405.00",114.85,United States,New York Stock Exchange Inc.,USD,1.00,--
UNP,UNION PACIFIC CORP,Industrials,Equity,"101,213,927.71",0.32,"101,213,927.71","452,879.00",223.49,United States,New York Stock Exchange Inc.,USD,1.00,--
NOW,SERVICENOW INC,Information Technology,Equity,"101,101,248.84",0.32,"101,101,248.84","150,974.00",669.66,United States,New York Stock Exchange Inc.,USD,1.00,--
SPGI,S&P GLOBAL INC,Financials,Equity,"98,739,006.80",0.32,"98,739,006.80","237,868.00",415.10,United States,New York Stock Exchange Inc.,USD,1.00,--
GE,GENERAL ELECTRIC,Industrials,Equity,"96,141,416.80",0.31,"96,141,416.80","803,858.00",119.60,United States,New York Stock Exchange Inc.,USD,1.00,--
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"95,161,805.52",0.31,"95,161,805.52","881,781.00",107.92,United States,New York Stock Exchange Inc.,USD,1.00,--
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"95,139,987.82",0.31,"95,139,987.82","494,722.00",192.31,United States,NASDAQ,USD,1.00,--
CAT,CATERPILLAR INC,Industrials,Equity,"94,354,183.38",0.30,"94,354,183.38","383,538.00",246.01,United States,New York Stock Exchange Inc.,USD,1.00,--
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"93,766,412.32",0.30,"93,766,412.32","627,284.00",149.48,United States,NASDAQ,USD,1.00,--
BA,BOEING,Industrials,Equity,"90,948,838.43",0.29,"90,948,838.43","413,573.00",219.91,United States,New York Stock Exchange Inc.,USD,1.00,--
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"86,638,344.24",0.28,"86,638,344.24","837,571.00",103.44,United States,NASDAQ,USD,1.00,--
RTX,RTX CORP,Industrials,Equity,"86,593,764.66",0.28,"86,593,764.66","1,084,863.00",79.82,United States,New York Stock Exchange Inc.,USD,1.00,--
NEE,NEXTERA ENERGY INC,Utilities,Equity,"86,370,686.01",0.28,"86,370,686.01","1,502,883.00",57.47,United States,New York Stock Exchange Inc.,USD,1.00,--
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"86,299,104.00",0.28,"86,299,104.00","434,800.00",198.48,United States,New York Stock Exchange Inc.,USD,1.00,--
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"86,212,720.00",0.28,"86,212,720.00","27,544.00","3,130.00",United States,NASDAQ,USD,1.00,--
T,AT&T INC,Communication,Equity,"85,944,681.90",0.28,"85,944,681.90","5,315,070.00",16.17,United States,New York Stock Exchange Inc.,USD,1.00,--
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"84,468,480.39",0.27,"84,468,480.39","175,987.00",479.97,United States,New York Stock Exchange Inc.,USD,1.00,--
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"82,046,419.00",0.26,"82,046,419.00","259,805.00",315.80,United States,NASDAQ,USD,1.00,--
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"81,167,605.68",0.26,"81,167,605.68","239,687.00",338.64,United States,New York Stock Exchange Inc.,USD,1.00,--
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"81,045,762.75",0.26,"81,045,762.75","537,617.00",150.75,United States,New York Stock Exchange Inc.,USD,1.00,--
BLK,BLACKROCK INC,Financials,Equity,"80,239,899.00",0.26,"80,239,899.00","110,350.00",727.14,United States,New York Stock Exchange Inc.,USD,1.00,--
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"79,719,898.79",0.26,"79,719,898.79","1,439,767.00",55.37,United States,New York Stock Exchange Inc.,USD,1.00,--
